window	gate_status	branch	execution_bias	execution_score	decision_hint	execution_readiness	prediction_vote_score	hybrid_transition_hazard	duration_remaining_expected_bars	branch_probability	path_ranker_score_used_by_execution_tree	path_ranker_score_visible_to_execution_tree	ranker_score_path_id	ranker_score_runtime_source	ranker_score_raw_path_score	ranker_score_calibrated_path_prob	ranker_score_path_prob_lower_bound	ranker_score_execution_gate_status	path_ranker_runtime_source	path_ranker_model_family	ranker_validation_ready	readiness_gap_to_observe	readiness_gap_to_ready	top_positive_feature	top_positive_contribution	top_negative_feature	top_negative_contribution	pythagorean_overstretch	ising_phase_transition_risk	spectral_entropy	dominant_cycle_energy	cycle_phase_alignment	consumer_reason
012	blocked	block_crowded	passive	0.558368	execution_blocked_regardless_of_prediction	0.358700	0.571900		2.300000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.091300	0.291300	dominant_cycle_energy	0.421744	branch_probability	-0.500000	1.000000	0.287900	0.388900	0.571700		market_state=RangeConsolidation/Distribution | execution=blocked/block_crowded/passive | ranker=registered_artifact/catboost/not_ready
013	observe	transition_guardrail	guarded	0.571900	execution_guarded_due_to_low_remaining_regime_duration	0.463100	0.576700	0.596000	1.300000	0.500000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.000000	0.186900	dominant_cycle_energy	0.587394	pythagorean_overstretch	-0.300000	1.000000	0.281500	0.259000	0.737400	0.431900	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
014	observe	transition_guardrail	guarded	0.444167	execution_guarded_due_to_low_remaining_regime_duration	0.315900	0.571500	0.677000	0.450000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.134100	0.334100	dominant_cycle_energy	0.617613	cycle_phase_alignment	-0.591331		0.360200	0.284800	0.767600	-0.591300	market_state=TrendExpansion/BullTrendExhaustion | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
015	blocked	block_crowded	skip	0.561413	execution_blocked_regardless_of_prediction	0.421000	0.573000			0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.029000	0.229000	spectral_entropy	0.507079	branch_probability	-0.500000	1.000000	0.267900	0.292900	0.639900		market_state=RangeConsolidation/WideRange | execution=blocked/block_crowded/skip | ranker=registered_artifact/catboost/not_ready
016	observe	transition_guardrail	guarded	0.573515	execution_guarded_due_to_high_transition_hazard	0.398000	0.577200	0.626000	1.950000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.052000	0.252000	cycle_phase_alignment	0.777113	branch_probability	-0.500000		0.269400	0.416500	0.402500	0.777100	market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
017	observe	transition_guardrail	guarded	0.564164	execution_guarded_due_to_low_remaining_regime_duration	0.266700	0.573800	0.602000	0.950000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.183300	0.383300	cycle_phase_alignment	0.872969	branch_probability	-0.500000		0.281500	0.599200		0.873000	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
018	observe	transition_guardrail	guarded	0.447105	execution_guarded_due_to_low_remaining_regime_duration	0.312600	0.572400	0.660000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.137400	0.337400	dominant_cycle_energy	0.703747	branch_probability	-0.500000		0.296300	0.200100	0.853700		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
019	observe	transition_guardrail	guarded	0.574640	execution_guarded_due_to_low_remaining_regime_duration	0.393800	0.577700	0.523000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.056200	0.256200	dominant_cycle_energy	0.598401	cycle_phase_alignment	-0.550905		0.259200	0.311900	0.748400	-0.550900	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
020	observe	transition_guardrail	guarded	0.435756	execution_guarded_due_to_low_remaining_regime_duration	0.323300	0.568200	0.682000	0.350000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.126700	0.326700	ising_phase_transition_risk	0.398075	cycle_phase_alignment	-0.815362		0.301900	0.448400	0.518100	-0.815400	market_state=TrendExpansion/BullTrendExhaustion | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
021	observe	transition_guardrail	guarded	0.440676	execution_guarded_due_to_high_transition_hazard	0.259700	0.570100	0.604000		0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.190300	0.390300	ising_phase_transition_risk	0.338097	cycle_phase_alignment	-0.972424		0.361900		0.480700	-0.972400	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
022	observe	transition_guardrail	guarded	0.548438	execution_guarded_due_to_low_remaining_regime_duration	0.419800	0.568100	0.681000	0.250000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.030200	0.230200	pythagorean_overstretch	0.605462	cycle_phase_alignment	-0.730885	0.094500	0.276700		0.459500	-0.730900	market_state=RangeConsolidation/Accumulation | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
023	blocked	block_crowded	skip	0.553203	execution_blocked_regardless_of_prediction	0.373300	0.569900			0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.076700	0.276700	ising_phase_transition_risk	0.336702	cycle_phase_alignment	-0.700444	1.000000	0.363300	0.520600		-0.700400	market_state=RangeConsolidation/WideRange | execution=blocked/block_crowded/skip | ranker=registered_artifact/catboost/not_ready
024	blocked	block_crowded	passive	0.457720	execution_blocked_regardless_of_prediction	0.255800	0.576500		2.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.194200	0.394200	ising_phase_transition_risk	0.423885	branch_probability	-0.500000	1.000000	0.276100	0.551000			market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/passive | ranker=registered_artifact/catboost/not_ready
025	observe	transition_guardrail	guarded	0.561272	execution_guarded_due_to_low_remaining_regime_duration	0.460500	0.572900	0.664000	0.250000	0.500000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.000000	0.189500	ising_phase_transition_risk	0.421570	cycle_phase_alignment	-0.736045	1.000000	0.278400	0.536300	0.400400	-0.736000	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
026	observe	transition_guardrail	guarded	0.552016	execution_guarded_due_to_low_remaining_regime_duration	0.450200	0.569500	0.647000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.000000	0.199800	pythagorean_overstretch	0.584454	branch_probability	-0.500000	0.115500	0.278700	0.512100		-0.319200	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
027	observe	transition_guardrail	guarded	0.556513	execution_guarded_due_to_high_transition_hazard	0.442400	0.571100	0.647000		0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.007600	0.207600	dominant_cycle_energy	0.723871	branch_probability	-0.500000		0.281500	0.168100	0.873900	0.549400	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
028	blocked	block_crowded	passive	0.517670	execution_blocked_regardless_of_prediction	0.360900	0.580200		2.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.089100	0.289100	dominant_cycle_energy	0.629641	branch_probability	-0.500000		0.285300	0.228900	0.779600	-0.325900	market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/passive | ranker=registered_artifact/catboost/not_ready
029	observe	transition_guardrail	guarded	0.568689	execution_guarded_due_to_low_remaining_regime_duration	0.278200	0.575500	0.587000	1.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.171800	0.371800	cycle_phase_alignment	0.568530	branch_probability	-0.500000		0.281500	0.458000		0.568500	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
030	observe	transition_guardrail	guarded	0.519767	execution_guarded_due_to_low_remaining_regime_duration	0.351700	0.575700	0.600000	0.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.098300	0.298300	dominant_cycle_energy	0.688744	branch_probability	-0.500000		0.284300	0.199100	0.838700		market_state=TrendExpansion/BullTrendExhaustion | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
031	observe	transition_guardrail	guarded	0.548491	execution_guarded_due_to_low_remaining_regime_duration	0.392900	0.568100	0.596000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.057100	0.257100	dominant_cycle_energy	0.600063	branch_probability	-0.500000		0.256900	0.267800	0.750100	-0.369500	market_state=TrendExpansion/BullTrendExhaustion | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
032	observe	transition_guardrail	guarded	0.560545	execution_guarded_due_to_low_remaining_regime_duration	0.447400	0.572800	0.645000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.002600	0.202600	ising_phase_transition_risk	0.444303	cycle_phase_alignment	-0.977464		0.255700	0.450700	0.480900	-0.977500	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
033	observe	transition_guardrail	guarded	0.553084	execution_guarded_due_to_low_remaining_regime_duration	0.440200	0.569800	0.664000	0.300000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.009800	0.209800	dominant_cycle_energy	0.730729	branch_probability	-0.500000	1.000000	0.255700	0.155100	0.880700		market_state=TrendExpansion/BullTrendExhaustion | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
034	observe	transition_guardrail	guarded	0.549698	execution_guarded_due_to_low_remaining_regime_duration	0.364500	0.568700	0.666000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.085500	0.285500	dominant_cycle_energy	0.601119	branch_probability	-0.500000	1.000000	0.255700	0.223900	0.751100		market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
035	blocked	block_crowded	skip	0.570827	execution_blocked_regardless_of_prediction	0.421800	0.576400			0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.028200	0.228200	spectral_entropy	0.513538	branch_probability	-0.500000		0.363200	0.286500	0.566800	0.441300	market_state=ExtremeStress/VolatilitySpike | execution=blocked/block_crowded/skip | ranker=registered_artifact/catboost/not_ready
036	blocked	block_crowded	passive	0.552422	execution_blocked_regardless_of_prediction	0.346900	0.569700		2.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.103100	0.303100	ising_phase_transition_risk	0.418452	branch_probability	-0.500000	1.000000	0.281500	0.433800			market_state=ExtremeStress/VolatilitySpike | execution=blocked/block_crowded/passive | ranker=registered_artifact/catboost/not_ready
037	observe	transition_guardrail	guarded	0.550132	execution_guarded_due_to_low_remaining_regime_duration	0.443400	0.568700	0.515000	1.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.006600	0.206600	ising_phase_transition_risk	0.437144	branch_probability	-0.500000	1.000000	0.262900	0.563700			market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
038	observe	transition_guardrail	guarded	0.562945	execution_guarded_due_to_low_remaining_regime_duration	0.301000	0.573800	0.610000	0.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.149000	0.349000	ising_phase_transition_risk	0.418452	branch_probability	-0.500000	1.000000	0.281500			-0.339700	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
039	observe	transition_guardrail	guarded	0.552115	execution_guarded_due_to_low_remaining_regime_duration	0.422700	0.569300	0.575000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.027300	0.227300	cycle_phase_alignment	0.511772	branch_probability	-0.500000		0.267100	0.398300	0.575100	0.511800	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
040	observe	transition_guardrail	guarded	0.568955	execution_guarded_due_to_low_remaining_regime_duration	0.356000	0.575500	0.577000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.094000	0.294000	dominant_cycle_energy	0.450875	branch_probability	-0.500000	1.000000	0.255700	0.388200	0.600900		market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
041	observe	transition_guardrail	guarded	0.555490	execution_guarded_due_to_low_remaining_regime_duration	0.275500	0.570800	0.543000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.174500	0.374500	ising_phase_transition_risk	0.418452	branch_probability	-0.500000	1.000000	0.281500			0.311500	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
042	observe	transition_guardrail	guarded	0.566359	execution_guarded_due_to_low_remaining_regime_duration	0.451000	0.574600	0.651000	0.000000	0.500000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.000000	0.199000	dominant_cycle_energy	0.403623	cycle_phase_alignment	-0.735168	0.949600	0.363400	0.456100	0.553600	-0.735200	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
043	observe	transition_guardrail	guarded	0.573388	execution_guarded_due_to_low_remaining_regime_duration	0.365700	0.572300	0.504000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.084300	0.284300	cycle_phase_alignment	0.642437	branch_probability	-0.500000	1.000000	0.259800	0.513600		0.642400	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
044	observe	transition_guardrail	guarded	0.561654	execution_guarded_due_to_low_remaining_regime_duration	0.448300	0.572900	0.636000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.001700	0.201700	dominant_cycle_energy	0.657649	branch_probability	-0.500000		0.271300	0.254000	0.807600	0.360300	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
045	observe	transition_guardrail	guarded	0.553753	execution_guarded_due_to_low_remaining_regime_duration	0.378600	0.570000	0.616000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.071400	0.271400	cycle_phase_alignment	0.689717	branch_probability	-0.500000		0.268900	0.302800	0.753900	0.689700	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
046	observe	transition_guardrail	guarded	0.565167	execution_guarded_due_to_low_remaining_regime_duration	0.369800	0.574200	0.515000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.080200	0.280200	dominant_cycle_energy	0.525216	branch_probability	-0.500000	1.000000	0.279100	0.349000	0.675200		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
047	observe	transition_guardrail	guarded	0.445467	execution_guarded_due_to_low_remaining_regime_duration	0.262900	0.571900	0.498000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.187100	0.387100	ising_phase_transition_risk	0.449398	branch_probability	-0.500000	1.000000	0.250600	0.472400			market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
048	observe	transition_guardrail	guarded	0.561690	execution_guarded_due_to_low_remaining_regime_duration	0.424100	0.573100	0.667000	0.250000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.025900	0.225900	cycle_phase_alignment	0.602614	branch_probability	-0.500000		0.278600	0.286200	0.670800	0.602600	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
049	blocked	block_crowded	skip	0.561786	execution_blocked_regardless_of_prediction	0.448400	0.573200			0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.001600	0.201600	cycle_phase_alignment	0.981079	branch_probability	-0.500000		0.281500	0.409000	0.568900	0.981100	market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/skip | ranker=registered_artifact/catboost/not_ready
050	observe	transition_guardrail	guarded	0.559492	execution_guarded_due_to_high_transition_hazard	0.421300	0.572200	0.665000		0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.028700	0.228700	spectral_entropy	0.517139	cycle_phase_alignment	-0.715524		0.238200	0.282900	0.648100	-0.715500	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
051	observe	transition_guardrail	guarded	0.555634	execution_guarded_due_to_low_remaining_regime_duration	0.409400	0.570900	0.649000	0.300000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.040600	0.240600	spectral_entropy	0.452184	cycle_phase_alignment	-0.853679		0.266800	0.347800	0.587500	-0.853700	market_state=TrendExpansion/BearTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
052	observe	transition_guardrail	guarded	0.552372	execution_guarded_due_to_high_transition_hazard	0.407800	0.569800	0.666000		0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.042200	0.242200	ising_phase_transition_risk	0.434652	cycle_phase_alignment	-0.997926		0.265300	0.423700	0.473800	-0.997900	market_state=RangeConsolidation/Accumulation | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
053	observe	transition_guardrail	guarded	0.561206	execution_guarded_due_to_low_remaining_regime_duration	0.393200	0.572900	0.655000	0.300000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.056800	0.256800	dominant_cycle_energy	0.559603	branch_probability	-0.500000		0.294600	0.298500	0.709600	0.330300	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
054	observe	transition_guardrail	guarded	0.548372	execution_guarded_due_to_low_remaining_regime_duration	0.435900	0.568100	0.685000	0.250000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.014100	0.214100	cycle_phase_alignment	0.662811	branch_probability	-0.500000		0.301100	0.433100	0.555000	0.662800	market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
